condition,signal,pc1,pc2,pc3
uncoupled,1,-0.5077782,0.11594184,-0.39758036
uncoupled,1,1.6367618,1.2454506,-0.92471737
uncoupled,1,0.0085093025,-0.93989044,-0.83816665
uncoupled,1,8.871035,0.97620344,-2.2499454
uncoupled,1,0.66102356,-0.54575527,0.65060943
uncoupled,1,0.73438525,-1.5597286,0.8311201
uncoupled,2,-2.2185001,-0.06000561,0.122050785
uncoupled,2,-4.5273123,0.15275636,-2.0101552
uncoupled,2,-5.5544925,1.0628977,-3.4637535
uncoupled,2,0.5650104,1.7063422,-0.26398963
uncoupled,2,-5.286788,1.9770356,-0.8020483
uncoupled,2,2.9950404,6.552084,-1.0573658
uncoupled,2,-4.6271696,2.330367,2.4687667
uncoupled,2,-1.2822856,1.1921107,0.0061245053
uncoupled,2,-6.61581,3.4140015,5.904336
uncoupled,2,-6.3183055,2.3801544,-0.69860286
uncoupled,2,-1.1988978,0.2967476,-0.52973413
uncoupled,2,-6.132897,7.176846,7.4064364
uncoupled,2,1.2551063,0.77928466,-0.4970569
uncoupled,2,-0.5077782,0.11594184,-0.39758036
uncoupled,2,-5.5123115,1.0359825,-1.2153102
uncoupled,2,0.4447266,-3.3740623,2.7864604
uncoupled,2,-2.9547381,0.86548984,-0.33468065
uncoupled,2,-6.0109777,-2.3469098,5.1692376
uncoupled,2,-8.604485,3.109827,6.21273
uncoupled,2,-17.212858,12.294664,5.3691716
uncoupled,2,-11.873071,6.4396243,-2.8954368
uncoupled,2,-1.3726983,0.5911668,0.77326757
uncoupled,2,-6.733056,7.2226706,-0.6452297
uncoupled,2,-7.1392193,4.7929516,2.3670113
uncoupled,2,-0.90960073,-0.20947622,-0.38061944
uncoupled,2,-8.209445,4.40046,0.42797002
uncoupled,2,-0.27965483,4.172855,-0.6283666
uncoupled,2,-1.0160595,0.25130087,-0.47242987
uncoupled,2,2.0596569,0.54614884,3.238128
uncoupled,2,-0.10592112,1.2670114,-0.7350606
uncoupled,2,0.28013468,0.72984725,-0.37184018
uncoupled,2,-1.2789257,0.5811417,-0.34660298
uncoupled,2,-5.967677,0.6081461,4.097947
uncoupled,2,-1.0968568,0.711235,-0.38607883
uncoupled,2,-1.188598,1.6995918,2.1696284
uncoupled,2,-3.0727274,5.4315095,-0.41592702
uncoupled,2,-8.610968,1.4703677,10.450547
uncoupled,2,-1.466187,0.40622437,-0.17360719
uncoupled,2,-0.13243382,0.8688637,0.36759976
uncoupled,2,-4.236039,8.354292,-1.3107578
uncoupled,2,-4.258132,4.3128967,-0.1486899
uncoupled,2,-1.8398156,1.8972651,0.24688223
uncoupled,2,-4.464806,4.4525065,-0.3863547
uncoupled,2,-0.5928063,0.71687007,-0.049382426
uncoupled,2,-2.355016,2.826354,-0.7365205
uncoupled,2,-5.8411584,0.08668005,-4.2911086
uncoupled,2,-2.2146122,1.3937644,-0.097657785
uncoupled,2,-2.8579075,1.4118373,2.8231015
uncoupled,2,-0.5077782,0.11594184,-0.39758036
uncoupled,2,-5.8027577,-0.290157,-2.931403
uncoupled,2,-1.139127,0.43802503,0.41200167
uncoupled,2,-5.995153,1.6323308,-2.803177
uncoupled,2,-3.8151665,-1.5212263,2.4026475
uncoupled,2,-0.89282966,3.5687115,0.87686306
uncoupled,2,-0.63107467,-0.11085924,-0.53546184
uncoupled,2,-1.047394,0.649688,-0.111741655
uncoupled,2,-1.741104,0.5506252,-0.5543828
uncoupled,2,-6.358832,0.89135313,-0.72769046
uncoupled,2,-5.2185717,2.380131,0.6329158
uncoupled,2,-8.331924,4.46992,-0.1599397
uncoupled,2,-3.9351847,1.7864687,0.35015857
uncoupled,2,-6.9978285,1.7763579,-2.1721263
uncoupled,2,-7.701591,1.6823438,-1.0964655
uncoupled,2,-3.5828173,2.722675,4.114861
uncoupled,2,-5.1948843,2.389194,-3.4409761
uncoupled,2,-1.2454995,4.0892286,13.673431
uncoupled,2,-5.7276053,10.663032,16.566425
uncoupled,2,-4.8609333,-1.631635,-5.1762934
uncoupled,2,-10.368053,6.9561453,-2.5718663
uncoupled,2,-16.304785,10.500373,4.9720507
uncoupled,2,-6.4115953,6.17111,-0.014381903
uncoupled,2,-4.489851,-0.81508785,-1.064488
uncoupled,2,-4.7498627,2.491738,7.007388
uncoupled,2,-0.5077782,0.11594184,-0.39758036
uncoupled,2,-8.096075,2.0652738,-3.0100815
uncoupled,2,-1.6141034,6.3180695,0.10365843
uncoupled,2,-1.3995545,9.833043,13.587723
uncoupled,2,-0.7453054,-0.29080275,-1.0424652
uncoupled,2,-5.569128,1.4335921,-4.157865
uncoupled,2,-0.5706749,0.1590635,-0.46367162
uncoupled,2,-10.238562,-0.7593152,-6.6328664
uncoupled,2,-5.9817615,0.24248555,-3.436838
uncoupled,2,-5.481451,1.4448658,-4.2668104
uncoupled,2,-2.5675242,1.627958,-5.0692325
uncoupled,2,-4.272682,1.6407145,-4.2936463
uncoupled,2,-3.935267,2.7970912,-4.5977974
uncoupled,2,-2.3411052,1.4576384,2.1678789
uncoupled,2,-11.3743105,4.700434,-1.0436928
uncoupled,2,-1.4447553,1.8547562,0.16323873
uncoupled,2,-4.3362317,5.6195493,15.04009
uncoupled,2,0.5233079,-1.4800172,4.7166862
uncoupled,2,-5.1541424,1.6493193,-5.8669844
uncoupled,2,-5.5079875,7.2699184,8.765776
uncoupled,2,-4.5543475,4.438549,4.840001
uncoupled,2,-1.867709,0.12078409,4.2027955
uncoupled,2,-11.516862,8.617923,10.337987
uncoupled,2,-2.995051,2.7545967,2.113441
uncoupled,2,-7.7884045,2.6313946,-0.42092517
uncoupled,2,-6.8785415,4.7148776,5.6919074
uncoupled,2,-1.3374321,0.21637072,-0.31827796
uncoupled,3,1.5552524,2.9033766,-1.3492566
uncoupled,3,0.6868067,0.4301,-0.87066716
uncoupled,3,-0.5804635,0.31392446,0.18990012
uncoupled,3,2.5951164,-0.1347355,2.2516367
uncoupled,3,0.18255982,-0.20066696,-0.36550495
uncoupled,3,-0.7001918,-0.17390358,-0.8808254
uncoupled,3,0.09637529,1.0391392,-0.13296704
